"","region_name","state_name","lat_max","lat_min","lng_max","lng_min","lat_avg","lng_avg","yearly_sunlight_kwh_kw_threshold_avg","count_qualified","percent_covered","percent_qualified","number_of_panels_n","number_of_panels_s","number_of_panels_e","number_of_panels_w","number_of_panels_f","number_of_panels_median","number_of_panels_total","kw_median","kw_total","yearly_sunlight_kwh_n","yearly_sunlight_kwh_s","yearly_sunlight_kwh_e","yearly_sunlight_kwh_w","yearly_sunlight_kwh_f","yearly_sunlight_kwh_median","yearly_sunlight_kwh_total","install_size_kw_buckets_json","carbon_offset_metric_tons","existing_installs_count"
"40952",48005000101,"Texas",31.52692032,31.3675499,-94.7038269,-95.00556946,31.44023132,-94.8536911,"1078.65",68,50.87719298,78.16091954,372,657,571,833,799,"42","3232","10.5","808",106642.6465,213358.2816,169073.7676,268222.1893,251587.1515,"12913.00898","1008884.036","[[0,19],[5,11],[10,22],[15,5],[20,5],[25,1],[30,1],[35,2],[40,1],[45,1]]",490.606635,0
"40953",48005000102,"Texas",31.39855957,31.22130013,-94.78922272,-94.96627808,31.3273201,-94.87110901,"1078.65",143,97.20670391,82.18390805,487,2701,1093,1529,5627,"43","11437","10.75","2859.25",138120.5557,898838.3944,320482.2112,464137.1466,1883477.934,"13506.19827","3705056.241","[[0,20],[5,39],[10,45],[15,16],[20,9],[25,4],[30,3],[35,2],[40,1],[65,1],[120,1],[175,1],[795,1]]",1801.718641,0
"40954",48005000200,"Texas",31.45960999,31.23940086,-94.61405182,-94.73345947,31.36891747,-94.67253113,"1078.65",589,96.36752137,65.29933481,3477,6393,5784,5660,15396,"36","36710","9","9177.5",1007832.185,2110433.765,1762477.527,1747924.836,5083654.638,"11178.50502","11712322.95","[[0,144],[5,185],[10,106],[15,58],[20,30],[25,13],[30,13],[35,5],[40,4],[45,4],[50,4],[55,2],[60,1],[65,3],[70,2],[75,1],[80,1],[85,1],[90,1],[95,1],[100,2],[105,2],[110,1],[150,1],[230,1],[245,1],[380,1],[395,1]]",6862.271831,1
"40955",48005000301,"Texas",31.41208076,31.32397079,-94.73146057,-94.81313324,31.37225151,-94.77484131,"1078.65",874,96.4378801,78.73873874,5643,10327,9038,13922,21252,"47","60182","11.75","15045.5",1614973.45,3378454.503,2688807.598,4376185.622,7028005.313,"14062.06102","19086426.49","[[0,148],[5,216],[10,203],[15,132],[20,69],[25,34],[30,15],[35,10],[40,3],[45,4],[50,5],[55,1],[60,4],[65,3],[70,2],[75,3],[80,3],[90,1],[95,3],[100,1],[110,1],[115,1],[120,2],[125,2],[140,1],[155,1],[200,1],[215,1],[250,1],[315,1],[330,1],[420,1]]",9281.47055,0
"40956",48005000302,"Texas",31.33226013,31.2206192,-94.72176361,-94.84864807,31.28145027,-94.78341675,"1078.65",470,95.72763685,65.55090656,2801,5490,5757,6261,14946,"42","35255","10.5","8813.75",801937.1347,1772301.633,1726440.262,1969318.565,4931676.533,"12874.97532","11201674.13","[[0,98],[5,120],[10,89],[15,47],[20,31],[25,17],[30,11],[35,4],[40,9],[45,5],[50,7],[55,3],[60,1],[65,3],[70,2],[75,1],[80,5],[85,1],[90,2],[95,3],[100,3],[105,3],[110,1],[120,1],[140,1],[200,1],[230,1]]",5570.344046,1
"40957",48005000400,"Texas",31.36673927,31.31728935,-94.72602844,-94.77707672,31.34211922,-94.75276947,"1078.65",1356,97.89590255,76.69683258,12516,22538,18569,22165,120391,"44","196179","11","49044.75",3607496.122,7569307.439,5638295.975,7064102.606,40366840.51,"13200.90715","64246042.65","[[0,250],[5,378],[10,209],[15,131],[20,66],[25,42],[30,34],[35,18],[40,21],[45,21],[50,19],[55,13],[60,15],[65,15],[70,7],[75,6],[80,5],[85,4],[90,7],[95,6],[100,7],[105,5],[110,3],[115,5],[120,7],[125,3],[130,3],[135,1],[140,2],[145,1],[150,1],[155,1],[160,2],[165,1],[170,1],[175,1],[180,1],[195,4],[200,2],[205,2],[220,1],[230,1],[235,1],[250,1],[280,2],[285,1],[305,1],[315,2],[325,1],[345,1],[350,1],[405,1],[420,1],[450,2],[475,1],[510,1],[565,1],[570,1],[620,1],[645,1],[690,1],[695,1],[720,1],[755,1],[830,1],[910,1],[960,1],[995,6]]",31241.97991,7
"40958",48005000500,"Texas",31.4023304,31.34534073,-94.70922089,-94.76335144,31.37066841,-94.73590851,"1078.65",1236,98.55358317,82.45496998,8513,13408,12452,14608,71356,"34","120337","8.5","30084.25",2451800.077,4556821.502,3806840.57,4693763.034,24019053,"10290.27639","39528278.18","[[0,283],[5,420],[10,223],[15,116],[20,31],[25,24],[30,16],[35,14],[40,6],[45,9],[50,6],[55,5],[60,3],[65,4],[70,3],[75,2],[80,1],[85,3],[90,7],[95,4],[100,1],[105,3],[110,3],[120,1],[125,3],[130,3],[135,3],[140,2],[145,4],[150,1],[155,3],[160,2],[175,1],[180,2],[185,1],[190,1],[220,1],[230,1],[235,1],[240,1],[245,1],[250,1],[255,1],[290,1],[325,1],[335,1],[345,1],[365,1],[395,1],[445,1],[455,1],[670,1],[775,1],[780,1],[995,3],[1000,1]]",19222.06601,0
"40959",48005000600,"Texas",31.37863922,31.32645988,-94.6690979,-94.72096252,31.34886169,-94.69599915,"1078.65",1766,98.02571166,82.71662763,11901,20292,19091,22262,59507,"35","133053","8.75","33263.25",3436066.062,6761251.661,5795381.342,7105146.239,19902837.89,"10966.54529","43000683.2","[[0,391],[5,592],[10,329],[15,178],[20,96],[25,33],[30,18],[35,11],[40,9],[45,12],[50,9],[55,3],[60,3],[65,7],[70,2],[75,7],[80,4],[85,5],[90,6],[95,2],[105,4],[115,3],[120,2],[125,1],[130,1],[135,3],[140,3],[145,3],[150,3],[155,1],[160,1],[170,2],[180,1],[190,1],[195,2],[210,1],[215,1],[225,1],[235,1],[245,1],[285,2],[350,1],[380,1],[395,1],[495,1],[530,1],[535,1],[540,1],[580,1],[585,1],[610,1],[995,1]]",26273.4268,2
"40960",48005000700,"Texas",31.35355949,31.32345963,-94.71727753,-94.73599243,31.33654213,-94.72583008,"1078.65",1050,98.66573034,74.73309609,6919,12989,9589,10092,63035,"35","102624","8.75","25656",2002326.414,4344928.571,2941872.286,3178975.364,21086107.22,"10914.75205","33554209.86","[[0,253],[5,332],[10,153],[15,70],[20,29],[25,30],[30,16],[35,19],[40,19],[45,9],[50,7],[55,12],[60,12],[65,4],[70,8],[75,7],[80,6],[85,2],[90,3],[95,5],[100,1],[105,5],[110,4],[115,3],[120,3],[125,2],[130,2],[135,1],[140,1],[145,5],[150,2],[155,2],[160,1],[170,2],[175,1],[190,1],[195,1],[205,1],[210,2],[215,1],[225,1],[235,1],[255,1],[260,1],[270,1],[275,1],[310,1],[360,1],[410,1],[480,1],[550,1],[590,1],[710,1]]",19463.14025,3
"40961",48005000800,"Texas",31.33666039,31.28183937,-94.66606903,-94.72801208,31.31129265,-94.7061615,"1078.65",1477,97.21115538,75.66598361,10986,22776,17088,18489,118322,"43","187661","10.75","46915.25",3177598.153,7433315.878,5196561.978,5701999.96,39486635.75,"13275.23183","60996111.72","[[0,262],[5,404],[10,273],[15,162],[20,75],[25,47],[30,34],[35,22],[40,13],[45,13],[50,15],[55,9],[60,10],[65,8],[70,9],[75,5],[80,2],[85,6],[90,9],[95,8],[100,1],[105,5],[110,3],[115,4],[120,4],[125,3],[130,3],[135,3],[140,1],[145,3],[150,1],[155,2],[160,3],[165,3],[170,4],[175,3],[180,1],[185,1],[190,1],[200,1],[205,2],[210,1],[220,1],[225,1],[235,1],[240,2],[245,3],[250,1],[255,3],[275,1],[285,1],[290,1],[295,1],[305,2],[310,1],[320,1],[345,1],[370,1],[385,1],[445,1],[465,1],[500,2],[510,1],[610,2],[645,1],[745,1],[930,1],[995,4],[1000,1]]",37268.63755,2
